Time,Lapse7_daily_mean_RH
2017-03-21,106.529375
2017-03-22,107.183625
2017-03-23,105.995875
2017-03-24,106.4285
2017-03-25,105.995875
2017-03-26,106.10425
2017-03-27,106.4295
2017-03-28,106.211375
2017-03-29,107.18325
2017-03-30,105.601
2017-03-31,102.64725
2017-04-01,104.888875
2017-04-02,104.060375
2017-04-03,100.24
2017-04-04,99.648125
2017-04-05,106.3135
2017-04-06,105.76425
2017-04-07,106.090375
2017-04-08,106.320375
2017-04-09,103.950375
2017-04-10,105.500625
2017-04-11,104.104125
2017-04-12,106.84575
2017-04-13,107.1835
2017-04-14,106.536625
2017-04-15,106.5905
2017-04-16,106.6445
2017-04-17,107.987375
2017-04-18,107.93375
2017-04-19,107.667125
2017-04-20,107.613375
2017-04-21,107.826625
2017-04-22,106.90625
2017-04-23,107.987875
2017-04-24,107.719125
2017-04-25,108.25375
2017-04-26,107.772875
2017-04-27,107.130625
2017-04-28,107.505125
2017-04-29,107.559875
2017-04-30,107.558375
2017-05-01,107.451875
2017-05-02,107.932625
2017-05-03,107.611625
2017-05-04,82.6425
2017-05-05,105.51975
2017-05-06,107.021875
2017-05-07,105.881625
2017-05-08,97.457375
2017-05-09,92.537
2017-05-10,91.8
2017-05-11,106.13225
2017-05-12,107.129375
2017-05-13,107.075875
2017-05-14,106.09675
2017-05-15,106.857625
2017-05-16,104.684875
2017-05-17,105.186375
2017-05-18,104.398
2017-05-19,97.061375
2017-05-20,88.38675
2017-05-21,58.79225
2017-05-22,48.856875
2017-05-23,62.42075
2017-05-24,101.93125
2017-05-25,84.470875
2017-05-26,64.88375
2017-05-27,51.529875
2017-05-28,56.033625
2017-05-29,39.3035
2017-05-30,68.858375
2017-05-31,103.708625
2017-06-01,107.13
2017-06-02,106.886875
2017-06-03,98.11875
2017-06-04,104.382625
2017-06-05,75.50425
2017-06-06,47.021375
2017-06-07,50.501125
2017-06-08,101.404375
2017-06-09,107.880875
2017-06-10,108.1475
2017-06-11,106.495125
2017-06-12,105.05725
2017-06-13,108.36025
2017-06-14,108.4635
2017-06-15,107.34225
2017-06-16,108.094375
2017-06-17,105.79775
2017-06-18,108.147
2017-06-19,90.162125
2017-06-20,99.196125
2017-06-21,97.603875
2017-06-22,78.2605
2017-06-23,59.6445
2017-06-24,40.40425
2017-06-25,35.361
2017-06-26,52.35525
2017-06-27,81.297875
2017-06-28,89.49675
2017-06-29,77.552875
2017-06-30,61.4265
2017-07-01,76.682125
2017-07-02,84.448375
2017-07-03,96.24825
2017-07-04,67.4185
2017-07-05,35.628125
2017-07-06,42.3925
2017-07-07,56.415375
2017-07-08,59.587125
2017-07-09,94.38575
2017-07-10,95.3335
2017-07-11,87.20675
2017-07-12,93.411375
2017-07-13,98.0905
2017-07-14,69.320625
2017-07-15,78.1105
2017-07-16,104.54725
2017-07-17,79.9385
2017-07-18,64.513125
2017-07-19,74.37425
2017-07-20,102.695875
2017-07-21,99.6965
2017-07-22,99.733
2017-07-23,101.51925
2017-07-24,75.3605
2017-07-25,66.784125
2017-07-26,73.219625
2017-07-27,86.966625
2017-07-28,79.297375
2017-07-29,76.345625
2017-07-30,81.096
2017-07-31,60.705875
2017-08-01,49.134375
2017-08-02,37.786375
2017-08-03,32.779375
2017-08-04,36.785625
2017-08-05,44.43975
2017-08-06,44.68
2017-08-07,41.919
2017-08-08,44.317
2017-08-09,40.258125
2017-08-10,40.706375
2017-08-11,43.16875
2017-08-12,73.230125
2017-08-13,105.554875
2017-08-14,105.319875
2017-08-15,85.911125
2017-08-16,85.732125
2017-08-17,93.977
2017-08-18,104.903125
2017-08-19,100.534125
2017-08-20,85.500625
2017-08-21,61.068375
2017-08-22,56.918625
2017-08-23,88.100125
2017-08-24,100.931125
2017-08-25,84.32875
2017-08-26,64.843875
2017-08-27,48.572625
2017-08-28,40.623375
2017-08-29,32.4815
2017-08-30,71.166375
2017-08-31,95.885125
2017-09-01,61.0265
2017-09-02,66.097
2017-09-03,38.995
2017-09-04,24.439125
2017-09-05,28.885875
2017-09-06,37.362375
2017-09-07,59.96625
2017-09-08,101.474375
2017-09-09,106.156375
2017-09-10,102.0925
2017-09-11,59.2935
2017-09-12,75.582625
2017-09-13,84.94775
2017-09-14,54.424
2017-09-15,47.644375
2017-09-16,61.76175
2017-09-17,77.916
2017-09-18,105.65
2017-09-19,106.96925
2017-09-20,107.0225
2017-09-21,103.81075
2017-09-22,90.923375
2017-09-23,90.35375
2017-09-24,91.281375
2017-09-25,105.559625
2017-09-26,96.6445
2017-09-27,63.1474
