Time,GroundT_Lapse4_daily_mean
2016-05-03,7.9375
2016-05-04,7.25
2016-05-05,6.875
2016-05-06,7.25
2016-05-07,8.5625
2016-05-08,7.8125
2016-05-09,6.0
2016-05-10,6.375
2016-05-11,7.1875
2016-05-12,7.625
2016-05-13,8.1875
2016-05-14,9.0625
2016-05-15,8.375
2016-05-16,7.75
2016-05-17,7.625
2016-05-18,7.875
2016-05-19,5.9375
2016-05-20,5.875
2016-05-21,6.625
2016-05-22,6.375
2016-05-23,6.1875
2016-05-24,6.625
2016-05-25,7.125
2016-05-26,7.0
2016-05-27,5.6875
2016-05-28,5.3125
2016-05-29,5.875
2016-05-30,6.0
2016-05-31,7.375
2016-06-01,8.5
2016-06-02,8.9375
2016-06-03,8.5
2016-06-04,10.0625
2016-06-05,11.6875
2016-06-06,12.0625
2016-06-07,11.4375
2016-06-08,11.0
2016-06-09,8.875
2016-06-10,7.4375
2016-06-11,6.6875
2016-06-12,6.75
2016-06-13,7.1875
2016-06-14,4.75
2016-06-15,5.4375
2016-06-16,5.8125
2016-06-17,6.25
2016-06-18,7.0
2016-06-19,6.6875
2016-06-20,7.9375
2016-06-21,8.25
2016-06-22,8.4375
2016-06-23,8.6875
2016-06-24,7.75
2016-06-25,7.875
2016-06-26,8.75
2016-06-27,10.5
2016-06-28,11.0625
2016-06-29,11.125
2016-06-30,10.8125
2016-07-01,10.375
2016-07-02,10.4375
2016-07-03,10.1875
2016-07-04,8.6875
2016-07-05,8.1875
2016-07-06,8.375
2016-07-07,9.125
2016-07-08,9.8125
2016-07-09,9.375
2016-07-10,8.9375
2016-07-11,8.9375
2016-07-12,9.1875
2016-07-13,9.3125
2016-07-14,9.625
2016-07-15,9.0
2016-07-16,9.4375
2016-07-17,10.0
2016-07-18,10.3125
2016-07-19,10.3125
2016-07-20,10.1875
2016-07-21,10.5625
2016-07-22,10.75
2016-07-23,10.0
2016-07-24,10.1875
2016-07-25,11.6875
2016-07-26,12.0625
2016-07-27,12.125
2016-07-28,12.75
2016-07-29,13.0
2016-07-30,12.0625
2016-07-31,10.9375
2016-08-01,10.875
2016-08-02,10.6875
2016-08-03,10.1875
2016-08-04,10.625
2016-08-05,11.25
2016-08-06,10.4375
2016-08-07,10.125
2016-08-08,9.75
2016-08-09,10.125
2016-08-10,10.5
2016-08-11,11.1875
2016-08-12,12.4375
2016-08-13,13.1875
2016-08-14,13.0
2016-08-15,12.4375
2016-08-16,12.3
