Time,Lapse1_daily_mean_RH,
5/4/2017,90.56625,
5/5/2017,98.838625,
5/6/2017,95.012375,
5/7/2017,79.151625,
5/8/2017,83.96425,
5/9/2017,82.703,
5/10/2017,81.361,
5/11/2017,94.396125,
5/12/2017,96.909125,
5/13/2017,95.28375,
5/14/2017,92.390375,
5/15/2017,97.828,
5/16/2017,100.72475,
5/17/2017,93.755,
5/18/2017,81.4695,
5/19/2017,86.951375,
5/20/2017,76.79125,
5/21/2017,70.968,
5/22/2017,63.916375,
5/23/2017,60.267,
5/24/2017,84.887875,
5/25/2017,79.972875,
5/26/2017,68.71975,
5/27/2017,59.355,
5/28/2017,60.722375,
5/29/2017,58.51025,
5/30/2017,84.872375,
5/31/2017,90.748375,
6/1/2017,90.23075,
6/2/2017,92.832125,
6/3/2017,90.12725,
6/4/2017,79.319875,
6/5/2017,70.494375,
6/6/2017,61.073875,
6/7/2017,60.67325,
6/8/2017,89.440125,
6/9/2017,89.864375,
6/10/2017,93.638875,
6/11/2017,85.568,
6/12/2017,88.69475,
6/13/2017,88.424625,
6/14/2017,89.360875,
6/15/2017,91.503375,
6/16/2017,93.316625,
6/17/2017,87.659625,
6/18/2017,91.318875,
6/19/2017,88.918625,
6/20/2017,89.993,
6/21/2017,78.53925,
6/22/2017,73.2245,
6/23/2017,68.34,
6/24/2017,59.42075,
6/25/2017,54.0125,
6/26/2017,53.907375,
6/27/2017,70.0055,
6/28/2017,73.127,
6/29/2017,77.18425,
6/30/2017,71.307875,
7/1/2017,70.679625,
7/2/2017,72.1895,
7/3/2017,75.705125,
7/4/2017,73.49375,
7/5/2017,63.79475,
7/6/2017,60.69625,
7/7/2017,69.626625,
7/8/2017,74.229875,
7/9/2017,73.819,
7/10/2017,71.847,
7/11/2017,71.197125,
7/12/2017,76.241125,
7/13/2017,79.3115,
7/14/2017,75.9265,
7/15/2017,69.493,
7/16/2017,65.14175,
7/17/2017,70.631625,
7/18/2017,67.989625,
7/19/2017,63.43675,
7/20/2017,84.567875,
7/21/2017,85.423625,
7/22/2017,88.052375,
7/23/2017,82.2535,
7/24/2017,76.18825,
7/25/2017,71.447375,
7/26/2017,69.812,
7/27/2017,75.7645,
7/28/2017,75.91125,
7/29/2017,69.219375,
7/30/2017,65.9395,
7/31/2017,68.07025,
8/1/2017,67.354125,
8/2/2017,56.8925,
8/3/2017,52.320625,
8/4/2017,64.131875,
8/5/2017,69.204375,
8/6/2017,70.415,
8/7/2017,60.715125,
8/8/2017,64.71925,
8/9/2017,64.265875,
8/10/2017,58.957625,
8/11/2017,58.7575,
8/12/2017,71.118,
8/13/2017,81.30825,
8/14/2017,74.78425,
8/15/2017,71.418375,
8/16/2017,69.99625,
8/17/2017,73.18775,
8/18/2017,79.744875,
8/19/2017,74.3,
8/20/2017,69.433875,
8/21/2017,68.272375,
8/22/2017,61.883,
8/23/2017,72.52675,
8/24/2017,73.26375,
8/25/2017,67.8375,
8/26/2017,63.94025,
8/27/2017,60.230875,
8/28/2017,58.62275,
8/29/2017,49.396,
8/30/2017,72.376125,
8/31/2017,75.723,
9/1/2017,67.450125,
9/2/2017,62.244375,
9/3/2017,53.44975,
9/4/2017,50.42475,
9/5/2017,52.787625,
9/6/2017,59.4335,
9/7/2017,74.314,
9/8/2017,89.03025,
9/9/2017,92.444625,
9/10/2017,92.139,
9/11/2017,79.618625,
9/12/2017,81.538,
9/13/2017,79.0725,
9/14/2017,62.67275,
9/15/2017,56.47125,
9/16/2017,61.3925,
9/17/2017,73.445125,
9/18/2017,93.3425,
9/19/2017,94.2795,
9/20/2017,90.94425,
9/21/2017,92.119375,
9/22/2017,79.619625,
9/23/2017,76.499625,
9/24/2017,83.091625,
9/25/2017,90.6605,
9/26/2017,87.695625, 
9/27/2017,81.185625,
9/28/2017,78.33,
