DataValue,LocalDateTime,UTCOffset,DateTimeUTC,SiteCode,VariableCode,MethodCode,SourceCode,QualityControlLevelCode,,,,,,,,,,
0.4375,12/18/15,-8,12/17/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-0.375,12/19/15,-8,12/18/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0,12/20/15,-8,12/19/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-0.1875,12/21/15,-8,12/20/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-0.9375,12/22/15,-8,12/21/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-0.8125,12/23/15,-8,12/22/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-0.8125,12/24/15,-8,12/23/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-2.125,12/25/15,-8,12/24/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-2.8125,12/26/15,-8,12/25/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-0.5,12/27/15,-8,12/26/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-1,12/28/15,-8,12/27/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-3.75,12/29/15,-8,12/28/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-6.375,12/30/15,-8,12/29/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-4.125,12/31/15,-8,12/30/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-1.6875,1/1/16,-8,12/31/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-2,1/2/16,-8,1/1/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-2.5,1/3/16,-8,1/2/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-1.4375,1/4/16,-8,1/3/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0.875,1/5/16,-8,1/4/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1.1875,1/6/16,-8,1/5/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1.125,1/7/16,-8,1/6/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0.8125,1/8/16,-8,1/7/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-0.4375,1/9/16,-8,1/8/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-0.5,1/10/16,-8,1/9/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1.125,1/11/16,-8,1/10/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.375,1/12/16,-8,1/11/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1.875,1/13/16,-8,1/12/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-0.0625,1/14/16,-8,1/13/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-0.4375,1/15/16,-8,1/14/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.375,1/16/16,-8,1/15/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1.75,1/17/16,-8,1/16/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1.8125,1/18/16,-8,1/17/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1.1875,1/19/16,-8,1/18/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1.125,1/20/16,-8,1/19/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
4,1/21/16,-8,1/20/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.875,1/22/16,-8,1/21/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1.5625,1/23/16,-8,1/22/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0.9375,1/24/16,-8,1/23/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0.375,1/25/16,-8,1/24/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
4,1/26/16,-8,1/25/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
6.0625,1/27/16,-8,1/26/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
4.1875,1/28/16,-8,1/27/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0.625,1/29/16,-8,1/28/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-0.1875,1/30/16,-8,1/29/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-0.125,1/31/16,-8,1/30/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-0.4375,2/1/16,-8,1/31/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-1.3125,2/2/16,-8,2/1/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0,2/3/16,-8,2/2/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0.75,2/4/16,-8,2/3/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.125,2/5/16,-8,2/4/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0.375,2/6/16,-8,2/5/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1,2/7/16,-8,2/6/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
4.6875,2/8/16,-8,2/7/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
7.125,2/9/16,-8,2/8/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
6.0625,2/10/16,-8,2/9/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
4.4375,2/11/16,-8,2/10/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
4.5625,2/12/16,-8,2/11/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1.0625,2/13/16,-8,2/12/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.75,2/14/16,-8,2/13/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.6875,2/15/16,-8,2/14/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.8125,2/16/16,-8,2/15/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
4.5625,2/17/16,-8,2/16/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.9375,2/18/16,-8,2/17/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1.8125,2/19/16,-8,2/18/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0.25,2/20/16,-8,2/19/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0,2/21/16,-8,2/20/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0.375,2/22/16,-8,2/21/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0.1875,2/23/16,-8,2/22/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.625,2/24/16,-8,2/23/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
4.5,2/25/16,-8,2/24/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
5.9375,2/26/16,-8,2/25/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
4.5,2/27/16,-8,2/26/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.5,2/28/16,-8,2/27/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0.875,2/29/16,-8,2/28/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.1875,3/1/16,-8,2/29/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.9375,3/2/16,-8,3/1/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
3.375,3/3/16,-8,3/2/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
3.75,3/4/16,-8,3/3/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
4.4375,3/5/16,-8,3/4/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
3.1875,3/6/16,-8,3/5/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1.5,3/7/16,-8,3/6/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1.375,3/8/16,-8,3/7/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.125,3/9/16,-8,3/8/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.8125,3/10/16,-8,3/9/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.625,3/11/16,-8,3/10/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.25,3/12/16,-8,3/11/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0.642857143,3/13/16,-8,3/12/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0.25,3/14/16,-8,3/13/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0.3125,3/15/16,-8,3/14/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0.5625,3/16/16,-8,3/15/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-0.375,3/17/16,-8,3/16/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1.1875,3/18/16,-8,3/17/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
4.125,3/19/16,-8,3/18/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
5.625,3/20/16,-8,3/19/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
4.375,3/21/16,-8,3/20/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
3.5,3/22/16,-8,3/21/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
3.125,3/23/16,-8,3/22/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1.0625,3/24/16,-8,3/23/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1.3125,3/25/16,-8,3/24/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.75,3/26/16,-8,3/25/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.1875,3/27/16,-8,3/26/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.25,3/28/16,-8,3/27/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
4.0625,3/29/16,-8,3/28/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
8.0625,3/30/16,-8,3/29/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
8.5625,3/31/16,-8,3/30/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
8.875,4/1/16,-8,3/31/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
8,4/2/16,-8,4/1/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
8.4375,4/3/16,-8,4/2/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
4.75,4/4/16,-8,4/3/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
3.1875,4/5/16,-8,4/4/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
6.375,4/6/16,-8,4/5/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
10.6875,4/7/16,-8,4/6/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
12.375,4/8/16,-8,4/7/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
9.25,4/9/16,-8,4/8/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
8,4/10/16,-8,4/9/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
7.1875,4/11/16,-8,4/10/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
5.1875,4/12/16,-8,4/11/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
3.6875,4/13/16,-8,4/12/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
3.6875,4/14/16,-8,4/13/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
5.0625,4/15/16,-8,4/14/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
6.1875,4/16/16,-8,4/15/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
10.875,4/17/16,-8,4/16/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
13.875,4/18/16,-8,4/17/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
14.5,4/19/16,-8,4/18/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
14.9375,4/20/16,-8,4/19/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
14,4/21/16,-8,4/20/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
9.375,4/22/16,-8,4/21/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
7.5625,4/23/16,-8,4/22/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
4.75,4/24/16,-8,4/23/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
4.25,4/25/16,-8,4/24/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
5.9375,4/26/16,-8,4/25/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
7.4375,4/27/16,-8,4/26/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
7.75,4/28/16,-8,4/27/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
7.0625,4/29/16,-8,4/28/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
8.375,4/30/16,-8,4/29/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
11.875,5/1/16,-8,4/30/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
14.75,5/2/16,-8,5/1/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
13.9375,5/3/16,-8,5/2/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
9.25,5/4/16,-8,5/3/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
10.5625,5/5/16,-8,5/4/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
14.25,5/6/16,-8,5/5/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
16.0625,5/7/16,-8,5/6/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
9.875,5/8/16,-8,5/7/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
8.75,5/9/16,-8,5/8/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
11.3125,5/10/16,-8,5/9/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
13.0625,5/11/16,-8,5/10/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
13.3125,5/12/16,-8,5/11/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
15.875,5/13/16,-8,5/12/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
16.0625,5/14/16,-8,5/13/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
11.6875,5/15/16,-8,5/14/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
10.5,5/16/16,-8,5/15/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
12.25,5/17/16,-8,5/16/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
10.625,5/18/16,-8,5/17/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
5.8125,5/19/16,-8,5/18/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
8.75,5/20/16,-8,5/19/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
8.5,5/21/16,-8,5/20/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
7.875,5/22/16,-8,5/21/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
7.875,5/23/16,-8,5/22/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
9.375,5/24/16,-8,5/23/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
11.125,5/25/16,-8,5/24/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
8.25,5/26/16,-8,5/25/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
5.5625,5/27/16,-8,5/26/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
5.75,5/28/16,-8,5/27/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
7.3125,5/29/16,-8,5/28/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
9.5625,5/30/16,-8,5/29/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
14.25,5/31/16,-8,5/30/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
13.5625,6/1/16,-8,5/31/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
10.25,6/2/16,-8,6/1/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
13.125,6/3/16,-8,6/2/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
18.5625,6/4/16,-8,6/3/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
21.8125,6/5/16,-8,6/4/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
20.625,6/6/16,-8,6/5/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
19,6/7/16,-8,6/6/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
15.3125,6/8/16,-8,6/7/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
9.5,6/9/16,-8,6/8/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
8,6/10/16,-8,6/9/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
7.1875,6/11/16,-8,6/10/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
9.25,6/12/16,-8,6/11/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
7.8125,6/13/16,-8,6/12/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
4.875,6/14/16,-8,6/13/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
6.625,6/15/16,-8,6/14/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
6.875,6/16/16,-8,6/15/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
10.3125,6/17/16,-8,6/16/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
8.25,6/18/16,-8,6/17/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
9.375,6/19/16,-8,6/18/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
12.6875,6/20/16,-8,6/19/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
11.8125,6/21/16,-8,6/20/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
13.6875,6/22/16,-8,6/21/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
10.5,6/23/16,-8,6/22/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
8.6875,6/24/16,-8,6/23/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
11.375,6/25/16,-8,6/24/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
14.6875,6/26/16,-8,6/25/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
18.9375,6/27/16,-8,6/26/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
18.5625,6/28/16,-8,6/27/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
18,6/29/16,-8,6/28/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
16.125,6/30/16,-8,6/29/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
14.125,7/1/16,-8,6/30/16,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
